playerId,name,position,gp,goals,assists,points
8474181,Sebastian Stefaniszin,G,0,0,0,0
8474192,Matt Frattin,R,135,17,18,35
8474110,Travis Erstad,C,0,0,0,0
8474124,Matt Rust,C,0,0,0,0
8473993,Justin McCrae,C,0,0,0,0
8474159,Vladimir Ruzicka,C,0,0,0,0
8474186,Ben Winnett,L,0,0,0,0
8474089,Brad Malone,C,217,14,18,32
8474169,Maxim Gratchev,L,0,0,0,0
8474071,Mitch Fadden,C,0,0,0,0
8474136,Brett Bruneteau,C,0,0,0,0
8474100,Dwight King,L,365,53,56,109
8473992,Justin Falk,D,279,3,30,33
8473997,Luca Caputi,L,35,3,6,9
8474098,Colton Sceviour,C,535,66,90,156
8474172,Kent Patterson,G,0,0,0,0
8474004,Ben Ryan,C,0,0,0,0
8474118,Niklas Lucenius,C,0,0,0,0
8474048,Keith Aulie,D,167,4,10,14
8474094,Matt Halischuk,R,280,33,42,75
8474005,Alex Grant,D,7,2,0,2
8474144,Mark Santorelli,R,0,0,0,0
8474016,Ben Blood,D,0,0,0,0
8474086,Mattias Modig,G,0,0,0,0
8474131,Mario Kempe,R,70,6,7,13
8474107,Maxim Goncharov,D,0,0,0,0
8474182,Linden Rowat,G,0,0,0,0
8474060,Brett Leffler,R,0,0,0,0
8474103,Joe Lavin,D,0,0,0,0
8474128,Milan Kytnar,C,1,0,0,0
8473987,Austin Smith,R,0,0,0,0
8473994,Jamie Benn,L,1252,414,578,992
8474079,Denis Reul,D,0,0,0,0
8474043,John Lee,D,0,0,0,0
8474052,Chris Terry,L,152,22,16,38
8474036,Joe Stejskal,D,0,0,0,0
8474088,Juraj Mikus,D,0,0,0,0
8474008,Paul Carey,C,100,8,8,16
8474111,Ondrej Roman,C,0,0,0,0
8474026,Joshua Turnbull,C,0,0,0,0
8474014,Max Campbell,C,0,0,0,0
8474115,Bradley Eidsness,G,0,0,0,0
8474042,Cody Almond,C,25,2,0,2
8474162,Jake Muzzin,D,683,69,225,294
8474147,Andrew Conboy,L,0,0,0,0
8474078,Mickey Renaud,C,0,0,0,0
8474154,Andreas Thuresson,R,25,1,2,3
8474180,Charles-Antoine Messier,C,0,0,0,0
8474081,Ilja Kablukov,L,0,0,0,0
8474171,Jean-Simon Allard,C,0,0,0,0
8474072,Randy Cameron,C,0,0,0,0
8474183,Michael Neal,L,0,0,0,0
8474022,Matt Marshall,C,0,0,0,0
8473655,Brett Morrison,C,0,0,0,0
8474177,Jon Kalinski,L,22,1,4,5
8474152,Scott Darling,G,126,0,0,0
8474047,Dan Dunn,G,0,0,0,0
8474155,Jens Hellgren,D,0,0,0,0
8474080,Richard Greenop,R,0,0,0,0
8474082,William Quist,L,0,0,0,0
8474057,Allen York,G,11,0,0,0
8474055,Alain Goulet,D,0,0,0,0
8474061,Anthony Peluso,R,148,4,10,14
8474034,Patrick Maroon,L,848,126,197,323
8474135,Brett Bellemore,D,121,4,16,20
8474120,Nichlas Torp,D,0,0,0,0
